Reading Date,Rainfall (in.),
05/20/2010,0.00,
05/21/2010,1.14,
05/22/2010,0.06,
05/23/2010,0.00,
05/24/2010,0.00,
05/25/2010,0.00,
05/26/2010,0.00,
05/27/2010,0.00,
05/28/2010,0.00,
05/29/2010,0.00,
05/30/2010,0.00,
05/31/2010,0.31,
06/01/2010,0.00,
06/02/2010,0.49,
06/03/2010,0.00,
06/04/2010,0.26,
06/05/2010,1.70,
06/06/2010,0.49,
06/07/2010,0.00,
06/08/2010,0.17,
06/09/2010,0.10,
06/10/2010,0.00,
06/11/2010,0.00,
06/12/2010,0.00,
06/13/2010,0.00,
06/14/2010,0.03,
06/15/2010,0.00,
06/16/2010,0.09,
06/17/2010,0.00,
06/18/2010,0.52,
06/19/2010,0.00,
06/20/2010,0.00,
06/21/2010,0.00,
06/22/2010,0.85,
06/23/2010,0.69,
06/24/2010,0.00,
06/25/2010,0.00,
06/26/2010,0.00,
06/27/2010,0.29,
06/28/2010,0.00,
06/29/2010,0.00,
06/30/2010,0.00,
07/01/2010,0.00,
07/02/2010,0.00,
07/03/2010,0.00,
07/04/2010,0.00,
07/05/2010,0.00,
07/06/2010,0.00,
07/07/2010,0.00,
07/08/2010,0.10,
07/09/2010,0.00,
07/10/2010,0.00,
07/11/2010,0.01,
07/12/2010,0.01,
07/13/2010,0.13,
07/14/2010,0.00,
07/15/2010,0.71,
07/16/2010,0.00,
07/17/2010,0.00,
07/18/2010,0.09,
07/19/2010,0.44,
07/20/2010,1.48,
07/21/2010,0.00,
07/22/2010,0.18,
07/23/2010,1.26,
07/24/2010,0.09,
07/25/2010,0.34,
07/26/2010,0.00,
07/27/2010,0.00,
07/28/2010,0.49,
07/29/2010,0.00,
07/30/2010,0.00,
07/31/2010,0.01,
08/01/2010,0.00,
08/02/2010,0.00,
08/03/2010,0.00,
08/04/2010,0.00,
08/05/2010,0.00,
08/06/2010,0.00,
08/07/2010,0.00,
08/08/2010,0.00,
08/09/2010,0.10,
08/10/2010,0.00,
08/11/2010,1.19,
08/12/2010,0.00,
08/13/2010,0.00,
08/14/2010,0.00,
08/15/2010,0.00,
08/16/2010,0.00,
08/17/2010,0.00,
08/18/2010,0.02,
08/19/2010,0.00,
08/20/2010,0.00,
08/21/2010,0.20,
08/22/2010,0.00,
08/23/2010,0.00,
08/24/2010,0.02,
08/25/2010,0.00,
08/26/2010,0.00,
08/27/2010,0.00,
08/28/2010,0.00,
08/29/2010,0.00,
08/30/2010,0.00,
08/31/2010,0.00,
09/01/2010,0.01,
09/02/2010,0.41,
09/03/2010,0.03,
09/04/2010,0.02,
09/05/2010,0.00,
09/06/2010,0.05,
09/07/2010,0.00,
09/08/2010,0.00,
09/09/2010,0.00,
09/10/2010,0.00,
09/11/2010,0.32,
09/12/2010,0.00,
09/13/2010,0.00,
09/14/2010,0.00,
09/15/2010,0.00,
09/16/2010,0.62,
09/17/2010,0.00,
09/18/2010,0.06,
09/19/2010,0.00,
09/20/2010,0.00,
09/21/2010,0.00,
09/22/2010,0.28,
09/23/2010,0.00,
09/24/2010,0.00,
09/25/2010,0.00,
09/26/2010,0.00,
09/27/2010,0.08,
09/28/2010,0.34,
09/29/2010,0.00,
09/30/2010,0.00,
10/01/2010,0.01,
10/02/2010,0.14,
10/03/2010,0.00,
10/04/2010,0.00,
10/05/2010,0.00,
10/06/2010,0.00,
10/07/2010,0.00,
10/08/2010,0.05,
10/09/2010,0.00,
10/10/2010,0.00,
10/11/2010,0.00,
10/12/2010,0.00,
10/13/2010,0.32,
10/14/2010,0.01,
10/15/2010,0.00,
10/16/2010,0.00,
10/17/2010,0.00,
10/18/2010,0.00,
10/19/2010,0.00,
10/20/2010,0.10,
10/21/2010,0.00,
10/22/2010,0.00,
10/23/2010,0.02,
10/24/2010,0.00,
10/25/2010,0.00,
10/26/2010,0.12,
10/27/2010,0.00,
10/28/2010,0.01,
10/29/2010,0.00,
10/30/2010,0.00,
10/31/2010,0.00,
11/01/2010,0.00,
11/02/2010,0.00,
11/03/2010,0.01,
11/04/2010,0.00,
11/05/2010,0.00,
11/06/2010,0.00,
11/07/2010,0.00,
11/08/2010,0.00,
11/09/2010,0.00,
11/10/2010,0.00,
11/11/2010,0.00,
11/12/2010,0.00,
11/13/2010,0.01,
11/14/2010,0.03,
11/15/2010,0.00,
11/16/2010,0.46,
11/17/2010,0.06,
11/18/2010,0.00,
11/19/2010,0.00,
11/20/2010,0.00,
11/21/2010,0.00,
11/22/2010,1.39,
11/23/2010,0.12,
11/24/2010,0.00,
11/25/2010,0.52,
11/26/2010,0.00,
11/27/2010,0.00,
11/28/2010,0.00,
11/29/2010,0.00,
11/30/2010,0.54,
12/01/2010,0.00,
12/02/2010,0.00,
12/03/2010,0.00,
12/04/2010,0.00,
12/05/2010,0.00,
12/06/2010,0.00,
12/07/2010,0.00,
12/08/2010,0.00,
12/09/2010,0.00,
12/10/2010,0.02,
12/11/2010,0.09,
12/12/2010,0.40,
12/13/2010,0.00,
12/14/2010,0.00,
12/15/2010,0.00,
12/16/2010,0.00,
12/17/2010,0.00,
12/18/2010,0.00,
12/19/2010,0.00,
12/20/2010,0.00,
12/21/2010,0.00,
12/22/2010,0.00,
12/23/2010,0.00,
12/24/2010,0.00,
12/25/2010,0.00,
12/26/2010,0.00,
12/27/2010,0.00,
12/28/2010,0.00,
12/29/2010,0.00,
12/30/2010,0.01,
12/31/2010,0.10,
01/01/2011,0.39,
01/02/2011,0.00,
01/03/2011,0.00,
01/04/2011,0.00,
01/05/2011,0.00,
01/06/2011,0.00,
01/07/2011,0.00,
01/08/2011,0.00,
01/09/2011,0.00,
01/10/2011,0.00,
01/11/2011,0.05,
01/12/2011,0.00,
01/13/2011,0.00,
01/14/2011,0.00,
01/15/2011,0.01,
01/16/2011,0.00,
01/17/2011,0.00,
01/18/2011,0.06,
01/19/2011,0.00,
01/20/2011,0.00,
01/21/2011,0.00,
01/22/2011,0.00,
01/23/2011,0.00,
01/24/2011,0.00,
01/25/2011,0.00,
01/26/2011,0.00,
01/27/2011,0.02,
01/28/2011,0.00,
01/29/2011,0.04,
01/30/2011,0.00,
01/31/2011,0.00,
02/01/2011,0.13,
02/02/2011,0.12,
02/03/2011,0.00,
02/04/2011,0.00,
02/05/2011,0.24,
02/06/2011,0.01,
02/07/2011,0.00,
02/08/2011,0.00,
02/09/2011,0.00,
02/10/2011,0.00,
02/11/2011,0.00,
02/12/2011,0.00,
02/13/2011,0.00,
02/14/2011,0.00,
02/15/2011,0.00,
02/16/2011,0.00,
02/17/2011,0.00,
02/18/2011,0.00,
02/19/2011,0.00,
02/20/2011,0.80,
02/21/2011,0.19,
02/22/2011,0.00,
02/23/2011,0.00,
02/24/2011,0.11,
02/25/2011,0.00,
02/26/2011,0.01,
02/27/2011,0.20,
02/28/2011,0.34,
03/01/2011,0.00,
03/02/2011,0.00,
03/03/2011,0.00,
03/04/2011,0.08,
03/05/2011,0.55,
03/06/2011,0.00,
03/07/2011,0.00,
03/08/2011,0.00,
03/09/2011,0.37,
03/10/2011,0.00,
03/11/2011,0.00,
03/12/2011,0.00,
03/13/2011,0.00,
03/14/2011,0.00,
03/15/2011,0.07,
03/16/2011,0.01,
03/17/2011,0.00,
03/18/2011,0.00,
03/19/2011,0.00,
03/20/2011,0.80,
03/21/2011,0.18,
03/22/2011,0.38,
03/23/2011,0.09,
03/24/2011,0.00,
03/25/2011,0.00,
03/26/2011,0.00,
03/27/2011,0.00,
03/28/2011,0.00,
03/29/2011,0.00,
03/30/2011,0.00,
03/31/2011,0.00,
04/01/2011,0.00,
04/02/2011,0.03,
04/03/2011,0.08,
04/04/2011,0.05,
04/05/2011,0.00,
04/06/2011,0.67,
04/07/2011,0.00,
04/08/2011,0.44,
04/09/2011,0.00,
04/10/2011,0.00,
04/11/2011,0.25,
04/12/2011,0.00,
04/13/2011,0.00,
04/14/2011,0.00,
04/15/2011,0.00,
04/16/2011,0.20,
04/17/2011,0.00,
04/18/2011,0.24,
04/19/2011,0.25,
04/20/2011,0.06,
04/21/2011,0.00,
04/22/2011,0.24,
04/23/2011,0.42,
04/24/2011,0.00,
04/25/2011,0.37,
04/26/2011,0.03,
04/27/2011,0.41,
04/28/2011,1.49,
04/29/2011,0.01,
04/30/2011,0.00,
05/01/2011,0.04,
05/02/2011,0.00,
05/03/2011,0.00,
05/04/2011,0.00,
05/05/2011,0.00,
05/06/2011,0.05,
05/07/2011,0.00,
05/08/2011,0.00,
05/09/2011,0.00,
05/10/2011,0.05,
05/11/2011,0.00,
05/12/2011,0.33,
05/13/2011,0.01,
05/14/2011,0.03,
05/15/2011,0.61,
05/16/2011,0.01,
05/17/2011,0.13,
05/18/2011,0.15,
05/19/2011,0.32,
05/20/2011,0.00,
05/21/2011,0.07,
05/22/2011,0.01,
05/23/2011,0.95,
05/24/2011,0.01,
05/25/2011,2.65,
05/26/2011,0.49,
05/27/2011,0.03,
05/28/2011,0.28,
05/29/2011,0.18,
05/30/2011,0.00,
05/31/2011,0.00,
06/01/2011,0.00,
06/02/2011,0.00,
06/03/2011,0.00,
06/04/2011,0.00,
06/05/2011,0.00,
06/06/2011,0.00,
06/07/2011,0.00,
06/08/2011,0.00,
06/09/2011,0.00,
06/10/2011,0.47,
06/11/2011,0.00,
06/12/2011,0.00,
06/13/2011,0.00,
06/14/2011,0.00,
06/15/2011,0.09,
06/16/2011,0.04,
06/17/2011,0.00,
06/18/2011,0.00,
06/19/2011,0.00,
06/20/2011,0.00,
06/21/2011,0.12,
06/22/2011,0.24,
06/23/2011,0.10,
06/24/2011,0.09,
06/25/2011,0.00,
06/26/2011,0.00,
06/27/2011,0.00,
06/28/2011,0.00,
06/29/2011,0.00,
06/30/2011,0.00,
07/01/2011,0.00,
07/02/2011,0.15,
07/03/2011,0.00,
07/04/2011,0.00,
07/05/2011,0.00,
07/06/2011,0.00,
07/07/2011,0.00,
07/08/2011,0.00,
07/09/2011,0.00,
07/10/2011,0.00,
07/11/2011,0.36,
07/12/2011,0.00,
07/13/2011,0.00,
07/14/2011,0.00,
07/15/2011,0.00,
07/16/2011,0.00,
07/17/2011,0.00,
07/18/2011,0.01,
07/19/2011,0.00,
07/20/2011,0.00,
07/21/2011,0.00,
07/22/2011,0.13,
07/23/2011,0.21,
07/24/2011,0.00,
07/25/2011,0.00,
07/26/2011,0.00,
07/27/2011,1.53,
07/28/2011,1.00,
07/29/2011,1.19,
07/30/2011,0.00,
07/31/2011,0.00,
08/01/2011,0.00,
08/02/2011,0.09,
08/03/2011,0.29,
08/04/2011,0.00,
08/05/2011,0.00,
08/06/2011,0.03,
08/07/2011,0.00,
08/08/2011,1.56,
08/09/2011,0.60,
08/10/2011,0.00,
08/11/2011,0.00,
08/12/2011,0.00,
08/13/2011,0.12,
08/14/2011,0.05,
08/15/2011,0.00,
08/16/2011,0.00,
08/17/2011,0.00,
08/18/2011,0.04,
08/19/2011,0.00,
08/20/2011,0.43,
08/21/2011,0.07,
08/22/2011,0.00,
08/23/2011,0.05,
08/24/2011,0.88,
08/25/2011,0.00,
08/26/2011,0.00,
08/27/2011,0.00,
08/28/2011,0.00,
08/29/2011,0.00,
08/30/2011,0.00,
08/31/2011,0.00,
09/01/2011,0.00,
09/02/2011,0.00,
09/03/2011,0.40,
09/04/2011,0.00,
09/05/2011,0.00,
09/06/2011,0.00,
09/07/2011,0.66,
09/08/2011,0.57,
09/09/2011,0.22,
09/10/2011,0.32,
09/11/2011,0.00,
09/12/2011,0.03,
09/13/2011,0.00,
09/14/2011,0.18,
09/15/2011,0.00,
09/16/2011,0.00,
09/17/2011,0.00,
09/18/2011,0.00,
09/19/2011,0.36,
09/20/2011,0.00,
09/21/2011,0.00,
09/22/2011,0.04,
09/23/2011,0.17,
09/24/2011,0.00,
09/25/2011,0.00,
09/26/2011,0.85,
09/27/2011,0.20,
09/28/2011,0.16,
09/29/2011,0.21,
09/30/2011,0.08,
10/01/2011,0.00,
10/02/2011,0.00,
10/03/2011,0.00,
10/04/2011,0.00,
10/05/2011,0.00,
10/06/2011,0.00,
10/07/2011,0.00,
10/08/2011,0.00,
10/09/2011,0.00,
10/10/2011,0.00,
10/11/2011,0.00,
10/12/2011,0.00,
10/13/2011,0.35,
10/14/2011,0.21,
10/15/2011,0.09,
10/16/2011,0.00,
10/17/2011,0.00,
10/18/2011,0.05,
10/19/2011,0.88,
10/20/2011,0.24,
10/21/2011,0.04,
10/22/2011,0.00,
10/23/2011,0.00,
10/24/2011,0.21,
10/25/2011,0.00,
10/26/2011,0.12,
10/27/2011,0.00,
10/28/2011,0.00,
10/29/2011,0.01,
10/30/2011,0.00,
10/31/2011,0.00,
11/01/2011,0.00,
11/02/2011,0.00,
11/03/2011,0.00,
11/04/2011,0.00,
11/05/2011,0.00,
11/06/2011,0.00,
11/07/2011,0.01,
11/08/2011,0.08,
11/09/2011,0.43,
11/10/2011,0.00,
11/11/2011,0.00,
11/12/2011,0.00,
11/13/2011,0.00,
11/14/2011,0.51,
11/15/2011,0.00,
11/16/2011,0.00,
11/17/2011,0.00,
11/18/2011,0.00,
11/19/2011,0.00,
11/20/2011,0.00,
11/21/2011,0.00,
11/22/2011,0.93,
11/23/2011,0.11,
11/24/2011,0.00,
11/25/2011,0.00,
11/26/2011,0.00,
11/27/2011,0.50,
11/28/2011,0.37,
11/29/2011,1.30,
11/30/2011,0.00,
12/01/2011,0.00,
12/02/2011,0.04,
12/03/2011,0.00,
12/04/2011,0.23,
12/05/2011,0.20,
12/06/2011,0.00,
12/07/2011,0.00,
12/08/2011,0.00,
12/09/2011,0.04,
12/10/2011,0.00,
12/11/2011,0.00,
12/12/2011,0.00,
12/13/2011,0.00,
12/14/2011,0.58,
12/15/2011,0.23,
12/16/2011,0.00,
12/17/2011,0.01,
12/18/2011,0.01,
12/19/2011,0.00,
12/20/2011,0.01,
12/21/2011,0.16,
12/22/2011,0.06,
12/23/2011,0.00,
12/24/2011,0.01,
12/25/2011,0.00,
12/26/2011,0.00,
12/27/2011,0.24,
12/28/2011,0.00,
12/29/2011,0.03,
12/30/2011,0.31,
12/31/2011,0.01,
01/01/2012,0.00,
01/02/2012,0.00,
01/03/2012,0.00,
01/04/2012,0.00,
01/05/2012,0.00,
01/06/2012,0.00,
01/07/2012,0.00,
01/08/2012,0.00,
01/09/2012,0.00,
01/10/2012,0.00,
01/11/2012,0.08,
01/12/2012,0.15,
01/13/2012,0.02,
01/14/2012,0.00,
01/15/2012,0.00,
01/16/2012,0.00,
01/17/2012,0.74,
01/18/2012,0.00,
01/19/2012,0.01,
01/20/2012,0.09,
01/21/2012,0.00,
01/22/2012,0.00,
01/23/2012,0.32,
01/24/2012,0.00,
01/25/2012,0.00,
01/26/2012,0.19,
01/27/2012,0.06,
01/28/2012,0.03,
01/29/2012,0.01,
01/30/2012,0.00,
01/31/2012,0.00,
02/01/2012,0.00,
02/02/2012,0.00,
02/03/2012,0.00,
02/04/2012,0.00,
02/05/2012,0.00,
02/06/2012,0.00,
02/07/2012,0.00,
02/08/2012,0.00,
02/09/2012,0.00,
02/10/2012,0.03,
02/11/2012,0.00,
02/12/2012,0.00,
02/13/2012,0.00,
02/14/2012,0.02,
02/15/2012,0.07,
02/16/2012,0.13,
02/17/2012,0.00,
02/18/2012,0.00,
02/19/2012,0.00,
02/20/2012,0.00,
02/21/2012,0.07,
02/22/2012,0.00,
02/23/2012,0.05,
02/24/2012,0.13,
02/25/2012,0.00,
02/26/2012,0.00,
02/27/2012,0.00,
02/28/2012,0.00,
02/29/2012,0.40,
03/01/2012,0.01,
03/02/2012,0.45,
03/03/2012,0.00,
03/04/2012,0.00,
03/05/2012,0.00,
03/06/2012,0.00,
03/07/2012,0.00,
03/08/2012,0.12,
03/09/2012,0.00,
03/10/2012,0.00,
03/11/2012,0.00,
03/12/2012,0.53,
03/13/2012,0.03,
03/14/2012,0.00,
03/15/2012,0.99,
03/16/2012,0.00,
03/17/2012,0.00,
03/18/2012,0.00,
03/19/2012,0.00,
03/20/2012,0.00,
03/21/2012,0.00,
03/22/2012,0.00,
03/23/2012,0.21,
03/24/2012,0.07,
03/25/2012,0.00,
03/26/2012,0.00,
03/27/2012,0.00,
03/28/2012,0.00,
03/29/2012,0.00,
03/30/2012,0.39,
03/31/2012,0.00,
04/01/2012,0.00,
04/02/2012,0.00,
04/03/2012,0.13,
04/04/2012,0.00,
04/05/2012,0.00,
04/06/2012,0.00,
04/07/2012,0.00,
04/08/2012,0.00,
04/09/2012,0.00,
04/10/2012,0.00,
04/11/2012,0.00,
04/12/2012,0.00,
04/13/2012,0.00,
04/14/2012,0.02,
04/15/2012,0.89,
04/16/2012,0.02,
04/17/2012,0.00,
04/18/2012,0.00,
04/19/2012,0.00,
04/20/2012,0.25,
04/21/2012,0.00,
04/22/2012,0.00,
04/23/2012,0.00,
04/24/2012,0.00,
04/25/2012,0.05,
04/26/2012,0.02,
04/27/2012,0.00,
04/28/2012,0.04,
04/29/2012,0.00,
04/30/2012,0.54,
05/01/2012,0.01,
05/02/2012,0.00,
05/03/2012,0.23,
05/04/2012,0.02,
05/05/2012,0.00,
05/06/2012,0.00,
05/07/2012,0.21,
05/08/2012,0.00,
05/09/2012,0.16,
05/10/2012,0.00,
05/11/2012,0.00,
05/12/2012,0.01,
05/13/2012,0.22,
05/14/2012,0.00,
05/15/2012,0.00,
05/16/2012,0.00,
05/17/2012,0.00,
05/18/2012,0.00,
05/19/2012,0.00,
05/20/2012,0.00,
05/21/2012,0.00,
05/22/2012,0.00,
05/23/2012,0.00,
05/24/2012,0.00,
05/25/2012,0.00,
05/26/2012,0.23,
05/27/2012,0.00,
05/28/2012,0.00,
05/29/2012,0.00,
05/30/2012,0.00,
05/31/2012,0.14,
06/01/2012,0.16,
06/02/2012,0.00,
06/03/2012,0.00,
06/04/2012,0.00,
06/05/2012,0.00,
06/06/2012,0.00,
06/07/2012,0.00,
06/08/2012,0.00,
06/09/2012,0.00,
06/10/2012,0.00,
06/11/2012,0.10,
06/12/2012,0.00,
06/13/2012,0.00,
06/14/2012,0.00,
06/15/2012,0.00,
06/16/2012,0.00,
06/17/2012,0.18,
06/18/2012,0.46,
06/19/2012,0.00,
06/20/2012,0.00,
06/21/2012,0.01,
06/22/2012,0.00,
06/23/2012,0.00,
06/24/2012,0.00,
06/25/2012,0.00,
06/26/2012,0.00,
06/27/2012,0.00,
06/28/2012,0.00,
06/29/2012,0.00,
06/30/2012,0.00,
07/01/2012,0.00,
07/02/2012,0.00,
07/03/2012,0.22,
07/04/2012,0.00,
07/05/2012,0.65,
07/06/2012,0.00,
07/07/2012,0.00,
07/08/2012,0.00,
07/09/2012,0.00,
07/10/2012,0.00,
07/11/2012,0.00,
07/12/2012,0.00,
07/13/2012,0.00,
07/14/2012,0.00,
07/15/2012,0.00,
07/16/2012,0.00,
07/17/2012,0.00,
07/18/2012,0.00,
07/19/2012,0.08,
07/20/2012,0.00,
07/21/2012,0.00,
07/22/2012,0.00,
07/23/2012,0.00,
07/24/2012,0.00,
07/25/2012,0.00,
07/26/2012,0.19,
07/27/2012,0.06,
07/28/2012,0.00,
07/29/2012,0.00,
07/30/2012,0.00,
07/31/2012,0.11,
08/01/2012,0.00,
08/02/2012,0.00,
08/03/2012,0.00,
08/04/2012,0.01,
08/05/2012,0.03,
08/06/2012,0.00,
08/07/2012,0.00,
08/08/2012,0.00,
08/09/2012,0.93,
08/10/2012,0.37,
08/11/2012,0.01,
08/12/2012,0.00,
08/13/2012,0.10,
08/14/2012,0.43,
08/15/2012,0.00,
08/16/2012,0.00,
08/17/2012,0.00,
08/18/2012,0.00,
08/19/2012,0.00,
08/20/2012,0.00,
08/21/2012,0.00,
08/22/2012,0.00,
08/23/2012,0.00,
08/24/2012,0.00,
08/25/2012,0.00,
08/26/2012,0.18,
08/27/2012,0.45,
08/28/2012,0.00,
08/29/2012,0.00,
08/30/2012,0.00,
08/31/2012,0.00,
09/01/2012,0.00,
09/02/2012,0.00,
09/03/2012,0.00,
09/04/2012,0.10,
09/05/2012,0.07,
09/06/2012,0.00,
09/07/2012,0.10,
09/08/2012,0.29,
09/09/2012,0.00,
09/10/2012,0.00,
09/11/2012,0.00,
09/12/2012,0.00,
09/13/2012,0.00,
09/14/2012,0.43,
09/15/2012,0.00,
09/16/2012,0.00,
09/17/2012,0.06,
09/18/2012,0.05,
09/19/2012,0.00,
09/20/2012,0.15,
09/21/2012,0.17,
09/22/2012,0.14,
09/23/2012,0.04,
09/24/2012,0.04,
09/25/2012,0.00,
09/26/2012,0.00,
09/27/2012,0.00,
09/28/2012,0.00,
09/29/2012,0.00,
09/30/2012,0.00,
10/01/2012,0.00,
10/02/2012,0.15,
10/03/2012,0.00,
10/04/2012,0.02,
10/05/2012,0.17,
10/06/2012,0.00,
10/07/2012,0.02,
10/08/2012,0.00,
10/09/2012,0.00,
10/10/2012,0.11,
10/11/2012,0.00,
10/12/2012,0.00,
10/13/2012,0.76,
10/14/2012,0.03,
10/15/2012,0.00,
10/16/2012,0.00,
10/17/2012,0.38,
10/18/2012,0.18,
10/19/2012,0.12,
10/20/2012,0.01,
10/21/2012,0.00,
10/22/2012,0.27,
10/23/2012,0.17,
10/24/2012,0.05,
10/25/2012,0.00,
10/26/2012,0.04,
10/27/2012,0.00,
10/28/2012,0.00,
10/29/2012,0.00,
10/30/2012,0.05,
10/31/2012,0.00,
11/01/2012,0.00,
11/02/2012,0.00,
11/03/2012,0.00,
11/04/2012,0.00,
11/05/2012,0.00,
11/06/2012,0.00,
11/07/2012,0.00,
11/08/2012,0.00,
11/09/2012,0.04,
11/10/2012,0.00,
11/11/2012,0.00,
11/12/2012,0.48,
11/13/2012,0.00,
11/14/2012,0.00,
11/15/2012,0.00,
11/16/2012,0.00,
11/17/2012,0.00,
11/18/2012,0.00,
11/19/2012,0.00,
11/20/2012,0.00,
11/21/2012,0.00,
11/22/2012,0.04,
11/23/2012,0.09,
11/24/2012,0.00,
11/25/2012,0.00,
11/26/2012,0.00,
11/27/2012,0.00,
11/28/2012,0.00,
11/29/2012,0.00,
11/30/2012,0.00,
12/01/2012,0.01,
12/02/2012,0.11,
12/03/2012,0.01,
12/04/2012,0.23,
12/05/2012,0.00,
12/06/2012,0.00,
12/07/2012,0.04,
12/08/2012,0.17,
12/09/2012,0.07,
12/10/2012,0.00,
12/11/2012,0.00,
12/12/2012,0.00,
12/13/2012,0.00,
12/14/2012,0.00,
12/15/2012,0.03,
12/16/2012,0.06,
12/17/2012,0.00,
12/18/2012,0.01,
12/19/2012,0.00,
12/20/2012,0.87,
12/21/2012,0.00,
12/22/2012,0.00,
12/23/2012,0.00,
12/24/2012,0.04,
12/25/2012,0.00,
12/26/2012,0.08,
12/27/2012,0.00,
12/28/2012,0.00,
12/29/2012,0.04,
12/30/2012,0.00,
12/31/2012,0.00,
01/01/2013,0.00,
01/02/2013,0.00,
01/03/2013,0.00,
01/04/2013,0.00,
01/05/2013,0.00,
01/06/2013,0.00,
01/07/2013,0.00,
01/08/2013,0.00,
01/09/2013,0.00,
01/10/2013,0.05,
01/11/2013,0.59,
01/12/2013,0.01,
01/13/2013,0.61,
01/14/2013,0.00,
01/15/2013,0.00,
01/16/2013,0.00,
01/17/2013,0.00,
01/18/2013,0.00,
01/19/2013,0.00,
01/20/2013,0.00,
01/21/2013,0.00,
01/22/2013,0.00,
01/23/2013,0.00,
01/24/2013,0.00,
01/25/2013,0.06,
01/26/2013,0.00,
01/27/2013,0.29,
01/28/2013,0.11,
01/29/2013,0.71,
01/30/2013,0.45,
